Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
688,Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,100,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4
223,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,99,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
196,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,99,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
680,Bad Bunny,Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,98,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4
725,Bad Bunny,Moscow Mule,6Xom58OOXk2SoU711L2IXO,97,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4
686,KAROL G,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,96,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,4
261,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,95,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4
176,Lizzo,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,95,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4
62,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,94,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
16,BTS,Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,93,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,193594,4
486,Jack Harlow,First Class,1rDQ4oMwGJI7B4tovsBOxc,92,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,173948,4
231,Post Malone,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,92,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
204,OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,91,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4
354,Camila Cabello,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,91,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4
366,Beyoncé,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,91,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,278282,4
493,Future,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,91,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
290,Calvin Harris,Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,89,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,214460,4
87,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,89,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
380,Megan Thee Stallion,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,87,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334,4
