Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
64,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,99,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
42,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,99,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
125,Lizzo,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,95,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4
83,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,95,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4
2,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,94,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
4,BTS,Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,93,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,193594,4
290,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,92,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
166,Jack Harlow,First Class,1rDQ4oMwGJI7B4tovsBOxc,92,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,173948,4
44,Post Malone,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,92,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
531,Future,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,91,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
218,Camila Cabello,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,91,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4
91,OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,91,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4
300,Harry Styles,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,91,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4
278,Beyoncé,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,91,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,278282,4
612,Harry Styles,Matilda,6uvh0In7u1Xn4HgxOfAn8O,90,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,245964,4
306,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,90,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907,4
519,Harry Styles,Daylight,51Zw1cKDgkad0CXv23HCMU,89,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,164533,3
16,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,89,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
298,Calvin Harris,Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,89,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,214460,4
512,Harry Styles,Love Of My Life,1mw0RgNXIpYRyyCdBQbLgA,88,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,191638,4
629,Benson Boone,In The Stars,1ei3hzQmrgealgRKFxIcWn,88,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,216410,3
20,j-hope,MORE,4XKXphKH76W4zNpkgFS5o2,87,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,180022,4
621,Kanye West,True Love,06JvOZ39sK8D8SqiqfaxDU,87,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,148571,4
644,Harry Styles,Grapejuice,4j6kId9QIqhoXvqHKgSKa0,87,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,0.88,182.928,191959,4
314,Megan Thee Stallion,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,87,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334,4
407,The Kid LAROI,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,87,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,164782,4
475,Kendrick Lamar,N95,0fX4oNGBWO3dSGUZcVdVV2,86,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4
739,Tate McRae,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,86,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,206772,4
0,Jimin,With you,2gzhQaCTeNgxpeB2TPllyY,86,0.532,0.426,3,-6.117,1,0.0288,0.639,0.0,0.134,0.137,149.898,201905,3
6,IVE,LOVE DIVE,0Q5VnK2DYzRyfqQRJuUtvi,86,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,177187,4
142,Post Malone,Cooped Up (with Roddy Ricch),7DwcBgdzqhFJltEaV1XF81,86,0.669,0.773,0,-5.619,1,0.153,0.038,0.0,0.113,0.377,93.923,185857,4
174,Marshmello,Numb,10xV5l9nhLvFpR8mqzs0bL,85,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589,4
170,Shawn Mendes,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,85,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148,172267,4
471,Pharrell Williams,Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,85,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136,4
24,BTS,For Youth,4JzCFEc3O2UEdjKzevvFH5,85,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855,264481,3
646,Kendrick Lamar,Die Hard,2g6tReTlM2Akp41g0HaeXN,85,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,239027,4
508,Lady Gaga,Hold My Hand,0oWraSo5ASJ0h1BEagTyEw,85,0.519,0.617,7,-4.287,1,0.0313,0.0387,0.0,0.401,0.222,147.708,225300,3
18,PSY,That That (prod. & feat. SUGA of BTS),5oH4DQAuu1J1800RzUsBWa,85,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,174647,4
10,LE SSERAFIM,FEARLESS,296nXCOv97WJNRWzIBQnoj,84,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,168437,4
38,BTS,Born Singer,1IthE5GNiRzFN5CVaCa445,83,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937,238628,4
610,Em Beihold,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,83,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4
100,The Weeknd,Out of Time,2SLwbpExuoBDZBpjfefCtV,83,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,0.838,93.057,214194,4
635,Halsey,So Good,6kxaaIeowajN7w21PfMLbu,83,0.576,0.627,3,-4.649,0,0.0449,0.0385,0.0,0.181,0.311,164.998,176059,4
196,Duke & Jones,Jiggle Jiggle,1I4lCSP69P74nU3a6Su5L2,83,0.864,0.412,1,-5.886,1,0.273,0.458,0.00087,0.124,0.654,99.992,97209,4
79,Jessi,ZOOM,4IaxDf2FixiQXq0mW7key9,83,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,174840,4
114,BTS,Butter,6jjYDGxVJsWS0a5wlVF5vS,82,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952,4
514,Lil Nas X,Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),3GbQcjKWT7eVpUfzqwUjxv,82,0.872,0.422,1,-7.415,0,0.363,0.0254,0.0,0.109,0.778,149.956,180666,4
506,dhruv,double take,0QzuaeCEEOV40Pn7IvKEny,82,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,171743,4
664,Tyga,Freaky Deaky,3vySEUpD0tc801F2WZDLYw,82,0.799,0.653,2,-5.453,0,0.037,0.019,0.0,0.0935,0.236,104.019,215281,4
616,Justin Bieber,Honest (feat. Don Toliver),2KdKh9vHbKW0tZLqtpxxI0,81,0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002,193322,4
146,TOMORROW X TOGETHER,Good Boy Gone Bad,1HsSIPLTQT354yJcQGfEY3,81,0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009,191038,4
623,Ed Sheeran,2step (feat. Lil Baby),2UN0lp72LAusrXi8LLVomt,81,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,163450,4
14,Jung Kook,Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep,81,0.512,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,0.495,130.096,210928,4
160,TREASURE,DARARI,0dcnrLo8s1rhjm8euGjI4n,81,0.716,0.638,0,-6.87,1,0.0392,0.486,0.0,0.0702,0.552,84.955,220716,4
670,Conan Gray,Memories,7AYP21Q4qnxw2WxETEvSRb,81,0.34,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969,248819,4
30,Charlie Puth,That's Hilarious,1jIMjbzcGCcCQn5iMu9CUc,81,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,0.546,108.039,146855,4
46,SEVENTEEN,HOT,6I2tqFhk8tq69iursYxuxd,81,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,197587,4
96,Charlie Puth,Light Switch,3AVXwaOGCEL8cmBecfcsFJ,81,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,185681,4
732,Imagine Dragons,Sharks,0TyUOnU4H4GLqOcrH0auc8,81,0.927,0.642,10,-4.466,0,0.0657,0.00791,3.62e-05,0.279,0.901,123.969,190883,4
119,ENHYPEN,Polaroid Love,5elW2CKSoqjYoJ32AGDxf1,80,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4
26,Red Velvet,Feel My Rhythm,2oBMZYteeO8DyXV9gDx6Za,79,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964,210253,4
666,Khalid,Skyline,1QxIFMs4M8qd5cbJJu80v4,79,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996,182895,5
48,NCT DREAM,Beatbox,0CatzXH85XWyBqqdB6qPMB,79,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,205133,4
517,Sam Smith,Love Me More,16MQETUgqXwY4lZcyRafU3,79,0.791,0.439,10,-5.62,1,0.0645,0.302,1.85e-05,0.126,0.559,85.004,190659,4
267,Post Malone,Wrapped Around Your Finger,6Kfoo60npYPdvNxMPMiDpX,79,0.744,0.628,2,-5.435,1,0.0287,0.0493,0.0,0.317,0.539,119.966,193565,4
403,Chris Jonex,Deja Que Tus Manos,1ONKgvfAhcbgHp4AKWAidI,78,0.538,0.785,2,-4.87,0,0.0296,0.142,0.0,0.3,0.631,146.066,160750,4
461,salem ilese,PS5 (with TOMORROW X TOGETHER & Alan Walker),7xNCacksfUkYXsXuSW4vNF,78,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978,152214,4
527,Machine Gun Kelly,maybe (feat. Bring Me The Horizon),25wdC7CJmCJPgnKw9rYquJ,77,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014,170134,4
672,Jonas Blue,Don’t Wake Me Up,3LEgGAl9zLcQWGTp7ptqtQ,77,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015,188894,4
658,NEIKED,I Just Called,0H8Tclo4x4kbZruQtZFNSX,77,0.626,0.849,7,-3.662,1,0.123,0.0732,0.0,0.593,0.898,138.997,150560,4
134,Kep1er,WA DA DA,4gdiCHNbwugojBqr5Jt3pq,77,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,183693,4
154,Gen Hoshino,Comedy,5SuOikwiRyPMVoIQDJUgSV,77,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230667,4
108,GOT the beat,Step Back,3LCwQoTrdQgHsGJE5gGVqx,77,0.636,0.81,1,-2.035,1,0.101,0.0205,1.04e-05,0.596,0.611,161.897,228613,4
206,Lauv,All 4 Nothing (I'm So In Love),21AziTMaZwcLflGMAj85o5,77,0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99,183014,4
68,aespa,Life's Too Short (English Version),2mgzUVvDpb1zMSB4glLQ6T,77,0.472,0.8,0,-3.681,1,0.265,0.289,0.0,0.149,0.548,72.203,178133,4
625,Machine Gun Kelly,make up sex (feat. blackbear),50eJOxJiGmJ7PBZaTKpje1,76,0.665,0.678,5,-4.122,0,0.0315,0.00156,0.0,0.474,0.682,131.986,122570,4
178,Kep1er,Up!,3XZAvh2NCDQYHgJei35VQ1,76,0.753,0.932,6,-2.706,1,0.119,0.0205,4.31e-06,0.0326,0.918,124.006,192027,4
80,STAYC,RUN2U,3gFcGnU4kTdMYLXDjH1TK8,76,0.722,0.676,11,-5.885,0,0.0829,0.000835,1.2e-05,0.321,0.362,129.943,213427,4
652,Lenin Ramírez,Se Acabo - En Vivo,0lyZyn18awzOJuVM7qzCmd,76,0.593,0.364,2,-7.242,1,0.175,0.515,0.0,0.348,0.652,83.133,230000,4
731,Machine Gun Kelly,emo girl (feat. WILLOW),3tBZ60j1jQ7NJm8IjelyQe,75,0.412,0.881,2,-3.502,1,0.087,0.00039,5.82e-05,0.923,0.359,165.012,159096,4
