album,track_number,id,name,uri,key,mode,danceability,acousticness,energy,liveness,loudness,tempo,valence,popularity
Sambil Menggandeng Erat Tanganku,1,7mGO7lGxnJhMWtqERZig8l,Angin Kita,spotify:track:7mGO7lGxnJhMWtqERZig8l,5,1,0.554,0.0582,0.583,0.326,-11.26,106.997,0.662,27
Sambil Menggandeng Erat Tanganku,2,1TdhewZV5VYPZY1ahpfgBE,Mango No. 2,spotify:track:1TdhewZV5VYPZY1ahpfgBE,1,0,0.614,0.212,0.602,0.0829,-11.706,170.008,0.795,25
Sambil Menggandeng Erat Tanganku,3,4fhJ1jFoIapbdiW8aDccHc,Sambil Menggandeng Erat Tanganku,spotify:track:4fhJ1jFoIapbdiW8aDccHc,5,1,0.515,0.0344,0.692,0.802,-10.994,163.954,0.642,32
Sambil Menggandeng Erat Tanganku,4,0eotVbveGVkC4gPvzdvks5,Bel Sekolah adalah Love Song,spotify:track:0eotVbveGVkC4gPvzdvks5,7,1,0.452,0.0167,0.625,0.335,-11.097,175.068,0.679,31
Sambil Menggandeng Erat Tanganku,5,2N6KAievdXztAwHzcymJdz,Glory Days,spotify:track:2N6KAievdXztAwHzcymJdz,0,1,0.553,0.0823,0.752,0.0674,-12.588,172.056,0.816,28
Sambil Menggandeng Erat Tanganku,6,1DUrPNEqWWVLYZgBnikiEQ,Barcode,spotify:track:1DUrPNEqWWVLYZgBnikiEQ,3,0,0.626,0.0323,0.592,0.37,-11.624,135.984,0.789,22
Sambil Menggandeng Erat Tanganku,7,1LRNtjqpe2KVU53TnKkZLm,Ajak Aku Pergi Menuju ke Wimbledo,spotify:track:1LRNtjqpe2KVU53TnKkZLm,7,1,0.611,0.0993,0.689,0.346,-11.203,147.07,0.878,26
Sambil Menggandeng Erat Tanganku,8,0pI9PVL8ROOIumjjLczqiZ,Sang Pianis Hujan,spotify:track:0pI9PVL8ROOIumjjLczqiZ,6,0,0.552,0.00433,0.733,0.344,-12.251,145.026,0.805,25
Sambil Menggandeng Erat Tanganku,9,6Idrb4GBzCUGaP7G40G5XT,Keberadaan Coklat Itu,spotify:track:6Idrb4GBzCUGaP7G40G5XT,0,1,0.648,0.0165,0.842,0.326,-11.833,125.077,0.744,21
Sambil Menggandeng Erat Tanganku,10,23r4tuEuW62Pv8qT40cstv,Innocence,spotify:track:23r4tuEuW62Pv8qT40cstv,1,0,0.638,0.00978,0.736,0.353,-11.822,132.008,0.738,24
Sambil Menggandeng Erat Tanganku,11,4G22d4UONZNFc1Dk4GPvc6,Romance Rocket,spotify:track:4G22d4UONZNFc1Dk4GPvc6,1,1,0.65,0.00343,0.735,0.332,-10.367,126.989,0.801,20
Sambil Menggandeng Erat Tanganku,12,5fITh6M3sCMDGYjXmAWWQr,Arah Sang Cinta dan Balasannya,spotify:track:5fITh6M3sCMDGYjXmAWWQr,11,1,0.692,0.0673,0.804,0.102,-10.511,129.037,0.961,26
Sambil Menggandeng Erat Tanganku,13,6JUEOP9V9N6qvGweYVR618,Aku Sangat Suka,spotify:track:6JUEOP9V9N6qvGweYVR618,0,1,0.49,0.059,0.765,0.346,-10.728,92.977,0.728,22
Sambil Menggandeng Erat Tanganku,14,0Eqh5OgF8zDrFTP3TH1eWz,Tali Persahabatan,spotify:track:0Eqh5OgF8zDrFTP3TH1eWz,6,0,0.512,0.0141,0.7,0.383,-9.855,156.003,0.764,19
Sambil Menggandeng Erat Tanganku,15,2FRQwszGqh5bVcMStIM7iA,Malam Hari Selasa,spotify:track:2FRQwszGqh5bVcMStIM7iA,10,1,0.529,0.00999,0.816,0.357,-9.887,153.036,0.727,19
Sambil Menggandeng Erat Tanganku,16,4BhaqBmF4CylMsdP0ARzRO,Di Tempat yang Jauh pun,spotify:track:4BhaqBmF4CylMsdP0ARzRO,2,1,0.646,0.873,0.2,0.104,-13.085,136.083,0.446,24
Tadaima Renaichuu,1,2ZZb1KxDrgG8Eudlz9tvcW,Sekarang Sedang Jatuh Cinta,spotify:track:2ZZb1KxDrgG8Eudlz9tvcW,4,1,0.537,0.0827,0.83,0.0655,-6.201,165.937,0.904,21
Tadaima Renaichuu,2,58Q6v2XVCukU3RovLLTpFZ,Boneka Teddy Bear,spotify:track:58Q6v2XVCukU3RovLLTpFZ,4,1,0.409,0.00426,0.559,0.0581,-9.437,113.092,0.755,19
Tadaima Renaichuu,4,1lDNAHck7TAhHCXtghpyDK,Cinta Pertama di Jam 7 Lewat 12,spotify:track:1lDNAHck7TAhHCXtghpyDK,7,1,0.695,0.0845,0.645,0.366,-8.308,119.946,0.479,26
Tadaima Renaichuu,5,1ZcKRoOvykD6FwiGUPfImV,Sampai Musim Semi Tiba,spotify:track:1ZcKRoOvykD6FwiGUPfImV,9,1,0.317,0.187,0.529,0.129,-9.039,96.029,0.234,26
Tadaima Renaichuu,6,5OezOdOWLtXBE0FicWQUnX,Cinta yang Tulus | Crescendo,spotify:track:5OezOdOWLtXBE0FicWQUnX,1,1,0.613,0.00328,0.699,0.0931,-6.36,147.008,0.198,19
Tadaima Renaichuu,7,4VZsq41rI4YmnWfWe7IUYq,Faint,spotify:track:4VZsq41rI4YmnWfWe7IUYq,7,0,0.67,0.0152,0.845,0.582,-5.516,116.952,0.503,17
Tadaima Renaichuu,8,5Eyu6Sq2tsjZ1ynOIWXtUb,Pulang Kampung,spotify:track:5Eyu6Sq2tsjZ1ynOIWXtUb,7,1,0.746,0.0947,0.736,0.105,-6.326,95.014,0.411,22
