,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Keisya Levronka,Tak Ingin Usai,1b0aDgrG775i4sPQgJGmkU,84,0.49,0.398,0,-7.712,1,0.0266,0.815,0.000187,0.114,0.136,129.772,278500,3
1,Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,22,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
2,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,99,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
3,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,1kA8kyl733T0Qmy8rOIYeM,3,0.572,0.81,1,-5.791,0,0.0557,0.0147,6.94e-06,0.13,0.106,126.045,214912,4
4,Tulus,Hati-Hati di Jalan,2hHeGD57S0BcopfVcmehdl,82,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,242000,4
5,Lil Wasted,Last Year - 2022 Remastered Version,15yn1S2AqWRX8IXdMqECgh,0,0.302,0.693,0,-6.145,0,0.0962,0.124,0.467,0.0983,0.329,126.868,216973,1
6,Fabio Asher,Rumah Singgah,7th706Tw7ByAqOR9FMWXLg,80,0.418,0.229,8,-10.665,1,0.0322,0.723,0.0,0.107,0.363,78.144,246731,4
7,Lady Gaga,Just Dance,1pcuPlMxK3GQtugXJJXDZ2,2,0.813,0.74,1,-4.668,0,0.0327,0.0318,1.43e-05,0.166,0.699,118.976,244055,4
8,Fabio Asher,Bertahan Terluka,3ajNIJJmIbFFJKZcTolYZO,79,0.325,0.345,5,-9.536,1,0.0311,0.495,0.0,0.0726,0.135,77.835,240760,4
9,George Duszak,Party Summer Year 2022,2Wu1C4tELeIYt8OgJEX7Ku,0,0.382,0.731,7,-3.855,0,0.0491,0.996,0.942,0.432,0.354,125.525,152184,3
