,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Official HIGE DANdism,ミックスナッツ,60ReNXcPcsVFd7nUuQw5HZ,77,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4
1,Ish Kevin,My Year (2022),16TeLUubmneRAhwmRAMbjM,21,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
2,Kenshi Yonezu,POP SONG,2wPSiRWMFFeL1FC4MJ3Qxf,50,0.762,0.792,11,-6.443,0,0.134,0.22,1.74e-05,0.939,0.806,109.968,199187,4
3,THE YELLOW MONKEY,JAM - 2022 Remaster,4uQkimBWBbDdDZdPo6GJsZ,46,0.282,0.862,0,-3.578,1,0.0484,0.00392,0.0,0.107,0.366,113.808,319987,3
4,SEKAI NO OWARI,Habit,2uMNMcjjUz8oNIxjIu20qE,78,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,253154,4
5,George Duszak,Party Summer Year 2022,2Wu1C4tELeIYt8OgJEX7Ku,0,0.382,0.731,7,-3.855,0,0.0491,0.996,0.942,0.432,0.354,125.525,152184,3
6,Vaundy,HERO,7C4pZa37R3hTIA4NWzbj9W,56,0.555,0.789,7,-5.977,1,0.0475,0.000749,0.000184,0.0974,0.61,110.021,200413,4
7,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,1kA8kyl733T0Qmy8rOIYeM,3,0.572,0.81,1,-5.791,0,0.0557,0.0147,6.94e-06,0.13,0.106,126.045,214912,4
8,Gen Hoshino,喜劇,6pllZAdgBf4QTcFUrF3DzL,74,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230667,4
9,Lil Wasted,Last Year - 2022 Remastered Version,15yn1S2AqWRX8IXdMqECgh,0,0.302,0.693,0,-6.145,0,0.0962,0.124,0.467,0.0983,0.329,126.868,216973,1
10,BE:FIRST,Bye-Good-Bye,0rPrGZTtScNSRL2jZoooKO,72,0.877,0.639,2,-5.509,1,0.0496,0.108,0.0,0.0806,0.79,115.028,181013,4
11,Lady Gaga,Just Dance,1pcuPlMxK3GQtugXJJXDZ2,2,0.813,0.74,1,-4.668,0,0.0327,0.0318,1.43e-05,0.166,0.699,118.976,244055,4
12,King Gnu,カメレオン,0J0P8iSE6l3pYHbUdNFYdS,74,0.628,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,193990,4
13,Hardik Vedanta,Islamic New Year 2022,63kjRQMoAaZeXqXdWBfEcs,0,0.158,0.0567,9,-24.076,0,0.0471,0.852,0.961,0.248,0.0366,108.669,278551,3
14,go!go!vanillas,青いの。,1XqGNBbV15PgSZayE4b3tO,60,0.528,0.773,5,-4.385,0,0.0427,0.000292,0.0,0.113,0.652,118.927,247133,4
15,Katy Perry,Hot N Cold,0MpMfwKNJKGYHUopXJCowl,1,0.706,0.842,7,-3.956,1,0.0417,7.73e-05,0.0,0.0688,0.861,132.032,220227,4
16,BTS,Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,93,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,193594,4
17,JMY,In the Year 2022,6iS4xloHDF6ek6JCIv8JT0,0,0.489,0.889,2,-7.016,0,0.0343,0.000302,0.868,0.664,0.328,119.978,132000,4
18,ZUTOMAYO,袖のキルト,7iDC1sNnfChQhMmdBuZmBA,54,0.749,0.813,9,-3.045,1,0.0559,0.265,0.0,0.0729,0.658,116.964,255173,4
19,Sam Smith,Dancing With A Stranger,62QV4FOYHz5fybzAmdp3uq,1,0.741,0.52,8,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,171030,4
20,Yuuri,ベテルギウス,4JK1kDUdH9RTBQrrSO1QfR,74,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4
21,Mausam Raj Gupta,Happy New Year 2022 Song,1lTRbPKUMoeD0tHGdwQCaF,0,0.691,0.935,10,-2.545,1,0.349,0.389,0.0,0.496,0.652,130.035,269607,4
22,aiko,ねがう夜,27EBcW5NBt5RQMHQtsBmtB,48,0.642,0.866,7,-5.229,0,0.0439,0.0594,8.27e-06,0.363,0.726,136.06,235986,4
23,THE YELLOW MONKEY,太陽が燃えている - 2022 Remaster,187GS0oFZeUvpZDyh6MXoh,42,0.524,0.967,4,-3.138,1,0.0821,0.000741,0.0,0.1,0.618,123.037,298747,4
24,Vaundy,恋風邪にのせて,5PeXak0Ox3JmH2oor0qnGt,73,0.595,0.909,6,-3.594,0,0.0341,6.4e-05,0.000355,0.387,0.537,118.021,255914,4
25,ABBA,Dancing Queen,2MSJBd6NyTh3kN3PdqkRa3,0,0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,231093,4
26,HIRAIDAI,もしも、僕がいなくても。,0dCZIpFLi9I0Cu5cYbGpKX,50,0.584,0.331,2,-8.473,1,0.0362,0.414,0.0,0.265,0.402,145.126,198728,4
27,ABBA,Mamma Mia,10FMqRC1D4xalm61hgf55K,0,0.739,0.806,2,-5.723,1,0.0309,0.255,0.000176,0.442,0.807,137.524,212760,4
28,Kenshi Yonezu,M八七,3sFdaHo9D3hfiFt2wVi6a5,73,0.633,0.719,1,-8.329,1,0.0418,0.3,2.23e-05,0.34,0.334,112.013,263120,4
29,Black Eyed Peas,I Gotta Feeling,5A0p8aEeWGtYiLupTsCQXI,0,0.746,0.793,0,-5.725,1,0.0265,0.0519,0.0,0.421,0.656,127.973,289493,4
30,Tani Yuuki,自分自信,7xf4yxFzvjft8R9xOZHOSC,52,0.585,0.685,1,-4.546,1,0.0576,0.245,0.0,0.091,0.461,155.965,262692,4
31,DJ Snake,Taki Taki,5VFkYsdQLP8IAy2tOMZv34,0,0.843,0.802,1,-4.167,0,0.228,0.158,5e-06,0.0642,0.618,95.881,212500,4
32,Macaroni Empitsu,なんでもないよ、,5W7Y92LB4jWvu9NeEQ0GZl,72,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4
