,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Jimin,With you,2gzhQaCTeNgxpeB2TPllyY,86,0.532,0.426,3,-6.117,1,0.0288,0.639,0.0,0.134,0.137,149.898,201905,3
1,Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,22,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
2,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,94,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
3,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,1kA8kyl733T0Qmy8rOIYeM,3,0.572,0.81,1,-5.791,0,0.0557,0.0147,6.94e-06,0.13,0.106,126.045,214912,4
4,BTS,Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,93,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,193594,4
5,Lil Wasted,Last Year - 2022 Remastered Version,15yn1S2AqWRX8IXdMqECgh,0,0.302,0.693,0,-6.145,0,0.0962,0.124,0.467,0.0983,0.329,126.868,216973,1
6,IVE,LOVE DIVE,0Q5VnK2DYzRyfqQRJuUtvi,86,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,177187,4
7,Lady Gaga,Just Dance,1pcuPlMxK3GQtugXJJXDZ2,2,0.813,0.74,1,-4.668,0,0.0327,0.0318,1.43e-05,0.166,0.699,118.976,244055,4
8,BIG Naughty,Beyond Love (Feat. 10CM),0HsRZwZzHoZ5AM5W2ZYI5c,61,0.507,0.571,7,-6.909,1,0.0856,0.222,0.0,0.241,0.587,174.954,188707,4
9,George Duszak,Party Summer Year 2022,2Wu1C4tELeIYt8OgJEX7Ku,0,0.382,0.731,7,-3.855,0,0.0491,0.996,0.942,0.432,0.354,125.525,152184,3
10,LE SSERAFIM,FEARLESS,296nXCOv97WJNRWzIBQnoj,84,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,168437,4
11,Katy Perry,Hot N Cold,0MpMfwKNJKGYHUopXJCowl,1,0.706,0.842,7,-3.956,1,0.0417,7.73e-05,0.0,0.0688,0.861,132.032,220227,4
12,(G)I-DLE,TOMBOY,6WYsZJDfUOftGVji74yYSU,63,0.756,0.871,1,-2.414,0,0.0935,0.00961,0.0,0.0918,0.644,124.04,174387,4
13,Hardik Vedanta,Islamic New Year 2022,63kjRQMoAaZeXqXdWBfEcs,0,0.158,0.0567,9,-24.076,0,0.0471,0.852,0.961,0.248,0.0366,108.669,278551,3
14,Jung Kook,Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep,81,0.512,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,0.495,130.096,210928,4
15,Sam Smith,Dancing With A Stranger,62QV4FOYHz5fybzAmdp3uq,1,0.741,0.52,8,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,171030,4
16,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,89,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
17,JMY,In the Year 2022,6iS4xloHDF6ek6JCIv8JT0,0,0.489,0.889,2,-7.016,0,0.0343,0.000302,0.868,0.664,0.328,119.978,132000,4
18,PSY,That That (prod. & feat. SUGA of BTS),5oH4DQAuu1J1800RzUsBWa,85,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,174647,4
19,ABBA,Dancing Queen,2MSJBd6NyTh3kN3PdqkRa3,0,0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,231093,4
20,j-hope,MORE,4XKXphKH76W4zNpkgFS5o2,87,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,180022,4
21,Mausam Raj Gupta,Happy New Year 2022 Song,1lTRbPKUMoeD0tHGdwQCaF,0,0.691,0.935,10,-2.545,1,0.349,0.389,0.0,0.496,0.652,130.035,269607,4
22,BIGBANG,Still Life,3TSLqZssCoCdDlMhCJ08XW,72,0.68,0.584,8,-4.457,1,0.034,0.443,0.0,0.0628,0.239,118.06,188369,4
23,ABBA,Mamma Mia,10FMqRC1D4xalm61hgf55K,0,0.739,0.806,2,-5.723,1,0.0309,0.255,0.000176,0.442,0.807,137.524,212760,4
24,BTS,For Youth,4JzCFEc3O2UEdjKzevvFH5,85,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855,264481,3
25,Black Eyed Peas,I Gotta Feeling,5A0p8aEeWGtYiLupTsCQXI,0,0.746,0.793,0,-5.725,1,0.0265,0.0519,0.0,0.421,0.656,127.973,289493,4
26,Red Velvet,Feel My Rhythm,2oBMZYteeO8DyXV9gDx6Za,79,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964,210253,4
27,DJ Snake,Taki Taki,5VFkYsdQLP8IAy2tOMZv34,0,0.843,0.802,1,-4.167,0,0.228,0.158,5e-06,0.0642,0.618,95.881,212500,4
28,Lim Young Woong,If We Ever Meet Again,2RLdkXSaiQjRbey5pvP8Kt,51,0.401,0.394,1,-6.655,1,0.0324,0.748,0.0,0.0993,0.327,129.74,274387,4
29,Fall Out Boy,"Dance, Dance",4uBPIxWFzlP0KRLz8cvIXQ,2,0.63,0.966,11,-2.879,0,0.134,0.00474,0.0,0.0354,0.5,114.455,181440,4
30,Charlie Puth,That's Hilarious,1jIMjbzcGCcCQn5iMu9CUc,81,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,0.546,108.039,146855,4
31,Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",0eRHyLCekRpdkuuFu237b7,0,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,212800,4
32,BE'O,LOVE me,3oiMjDZ1bShIpFfOQf55IW,65,0.628,0.812,4,-2.669,1,0.0477,0.0689,0.0,0.34,0.683,147.872,173440,4
33,Nelly,Hot In Herre,4RXPyem2nYsL4550eP6bDF,0,0.957,0.745,11,-4.753,0,0.121,0.203,0.0,0.0615,0.913,107.077,228240,4
34,MeloMance,"Love, Maybe",2X45nVBeYzmDlrXji9Av0Q,70,0.402,0.731,8,-3.529,1,0.0693,0.508,0.0,0.146,0.631,171.594,185000,4
35,Swedish House Mafia,Don't You Worry Child - Radio Edit,6MARDAexLrAjVz5fNDW9WO,0,0.609,0.83,11,-3.229,0,0.0552,0.117,0.0,0.18,0.478,128.986,211360,4
36,NAYEON,POP!,3qnOJbyOsX43KmlGYytEFL,50,0.795,0.858,2,-2.994,1,0.0543,0.0354,0.0,0.0321,0.357,96.98,168107,4
37,Zedd,Stay,2tkPgj0Voqw5s2B4BsKxnU,0,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,210400,4
38,BTS,Born Singer,1IthE5GNiRzFN5CVaCa445,83,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937,238628,4
39,Zedd,Clarity,6Rb8fTrmmivroJEy4avjRm,1,0.509,0.781,8,-3.48,1,0.0721,0.0391,0.0,0.0749,0.176,128.002,271427,4
40,Jimin,With you - Instrumental,7M30L99pePlQ3wh8IxVUsD,68,0.637,0.307,3,-9.624,1,0.029,0.461,0.962,0.108,0.0641,150.068,201487,3
41,Zedd,The Middle,1XBL6XxdXb77tyjPIactJr,0,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,184732,4
42,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,99,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
43,Years & Years,Sweet Talker - Navos Remix,1YNA4lYtqfr76Qfilpmqgb,1,0.744,0.764,5,-5.535,0,0.0331,0.0112,8.22e-05,0.408,0.549,124.977,159913,4
44,Post Malone,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,92,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
45,Years & Years,Starstruck,6cOr55DUIJEK23glBJb1aU,0,0.555,0.879,9,-2.484,0,0.0983,0.011,0.0,0.298,0.691,113.852,207755,4
46,SEVENTEEN,HOT,6I2tqFhk8tq69iursYxuxd,81,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,197587,4
47,Years & Years,King,5SDcmsNECjlcP62MElEVrl,3,0.559,0.837,4,-4.062,0,0.0391,0.0617,0.0,0.393,0.446,119.958,214835,4
48,NCT DREAM,Beatbox,0CatzXH85XWyBqqdB6qPMB,79,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,205133,4
49,Years & Years,Starstruck - Kylie Minogue Remix,1UQZtQbYLMW6GBfiorfrh4,4,0.613,0.867,9,-2.089,0,0.0817,0.0364,0.0,0.318,0.66,113.971,206068,4
50,KyoungSeo,Dear my X,0UnOf7i44YK0ULpkEGHe4R,54,0.701,0.553,3,-3.393,1,0.0287,0.528,0.0,0.147,0.515,94.023,187733,4
51,MEDUZA,Lose Control,59yeBiuPekqUhkuOj96Wc8,0,0.597,0.527,10,-8.658,0,0.0412,0.127,0.0,0.14,0.535,123.946,168387,4
52,BTS,Filter,2ZXXwpomdj8xBYl352iyKH,69,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,180221,4
